rank	keyword	synonyms	score	frequency
1	bolzanina laura dolci		117.81984045819031	2
2	bagdad		44.29215409926345	2
3	solitudine delle famiglie delle vittime		38.888888890333256	1
4	funzionario onu		30.864197532858785	1
5	dramma delle famiglie delle vittime		28.08806273585867	1
6	marito		23.369793950475366	2
7	notte dell' attentato al bataclan		21.69384748454636	1
8	improvviso fossi		18.51851851902562	1
9	libro		14.757546806050835	2
10	storia		10.508221985157602	1
11	attentato		7.096336095551118	1
12	mattioli		6.172839507170136	1
13	pagina		6.172839506244331	1
